77.69 28.73
45.29 -94.34 35.53
45.31 -94.31 35.54
45.39 -94.34 35.54
45.50 -94.21 35.55
45.57 -94.37 35.56
45.64 -94.44 35.57
45.78 -94.35 35.58
45.88 -94.32 35.58
45.88 -94.43 35.59
45.76 -94.53 35.60
45.94 -94.49 35.61
45.74 -94.43 35.62
45.61 -94.37 35.63
45.84 -94.54 35.64
45.87 -94.49 35.65
46.03 -94.57 35.65
46.06 -94.54 35.66
46.18 -94.47 35.67
46.24 -94.64 35.68
46.11 -94.46 35.69
46.21 -94.59 35.70
46.28 -94.68 35.70
46.36 -94.54 35.70
46.41 -94.79 35.71
46.39 -94.74 35.71
46.41 -94.74 35.72
46.43 -94.81 35.72
46.45 -94.88 35.72
46.44 -94.86 35.73
46.45 -94.88 35.73
46.44 -94.91 35.74
46.43 -94.88 35.74
46.43 -94.87 35.75
46.55 -95.06 35.76
46.55 -95.06 35.77
46.53 -95.06 35.77
46.50 -94.92 35.78
46.60 -95.17 35.79
46.63 -95.18 35.80
46.55 -95.25 35.80
46.50 -95.26 35.81
46.41 -95.26 35.81
46.51 -95.19 35.82
46.32 -95.32 35.82
46.31 -95.22 35.83
46.19 -95.31 35.84
46.26 -95.35 35.85
46.03 -95.28 35.85
46.12 -95.35 35.86
45.97 -95.35 35.87
46.19 -95.32 35.88
45.82 -95.28 35.88
45.88 -95.38 35.88
45.99 -95.49 35.90
45.91 -95.52 35.90
45.88 -95.51 35.91
45.81 -95.45 35.92
45.74 -95.51 35.93
45.84 -95.59 35.93
45.87 -95.63 35.94
45.82 -95.65 35.94
45.78 -95.67 35.96
45.79 -95.64 35.96
45.74 -95.65 35.97
45.71 -95.63 35.97
45.70 -95.56 35.98
45.53 -95.67 35.99
45.64 -95.62 36.00
45.49 -95.76 36.01
45.49 -95.70 36.02
45.50 -95.71 36.03
45.53 -95.61 36.04
45.52 -95.60 36.05
45.43 -95.66 36.05
45.31 -95.74 36.06
45.36 -95.72 36.07
45.34 -95.71 36.08
45.26 -95.82 36.08
45.22 -95.82 36.09
45.23 -95.84 36.10
45.15 -95.92 36.11
45.09 -95.97 36.11
45.05 -96.00 36.12
45.02 -95.94 36.13
44.92 -95.97 36.13
44.91 -95.92 36.14
44.90 -95.91 36.15
44.94 -95.92 36.16
45.02 -96.00 36.17
45.01 -96.08 36.17
45.02 -96.07 36.18
45.02 -96.12 36.18
45.00 -96.13 36.19
44.98 -96.15 36.20
44.98 -96.28 36.21
45.05 -96.27 36.21
45.05 -96.32 36.22
45.05 -96.31 36.22
45.05 -96.34 36.23
45.01 -96.32 36.23
45.16 -96.35 36.24
45.17 -96.39 36.25
45.14 -96.44 36.26
45.23 -96.35 36.26
45.18 -96.50 36.27
45.24 -96.42 36.28
45.25 -96.53 36.28
45.34 -96.48 36.29
45.26 -96.48 36.30
45.30 -96.52 36.31
45.32 -96.59 36.32
45.34 -96.61 36.33
45.39 -96.54 36.34
45.31 -96.55 36.34
45.39 -96.64 36.35
45.42 -96.59 36.35
45.52 -96.62 36.36
45.60 -96.57 36.37
45.44 -96.74 36.38
45.46 -96.71 36.38
45.47 -96.76 36.39
45.37 -96.63 36.40
45.47 -96.77 36.41
45.57 -96.76 36.42
45.62 -96.74 36.43
45.56 -96.80 36.44
45.56 -96.86 36.44
45.58 -96.86 36.45
45.69 -96.85 36.46
45.70 -96.88 36.47
45.61 -96.91 36.48
45.78 -96.88 36.49
45.67 -96.94 36.50
45.71 -97.00 36.50
45.77 -97.03 36.51
45.90 -96.95 36.52
45.78 -97.05 36.53
45.79 -97.05 36.53
45.83 -97.09 36.54
45.85 -97.11 36.55
46.01 -97.04 36.56
45.92 -97.16 36.56
45.89 -97.12 36.57
46.06 -97.10 36.58
46.01 -97.18 36.59
46.14 -97.05 36.59
46.18 -97.05 36.60
46.18 -97.07 36.61
46.21 -97.14 36.62
46.14 -97.26 36.62
46.19 -97.21 36.63
46.22 -97.22 36.64
46.18 -97.32 36.65
46.23 -97.34 36.66
46.18 -97.37 36.67
46.29 -97.34 36.68
46.20 -97.40 36.69
46.17 -97.40 36.70
46.23 -97.45 36.70
46.16 -97.35 36.71
46.24 -97.40 36.73
46.22 -97.40 36.73
46.21 -97.32 36.74
46.29 -97.43 36.75
46.32 -97.35 36.75
46.43 -97.51 36.76
46.45 -97.52 36.76
46.47 -97.50 36.77
46.46 -97.49 36.77
46.45 -97.47 36.78
46.47 -97.56 36.79
46.49 -97.58 36.79
46.47 -97.55 36.79
46.55 -97.67 36.80
46.52 -97.67 36.80
46.49 -97.62 36.81
46.51 -97.72 36.82
46.53 -97.83 36.82
46.59 -97.93 36.83
46.59 -97.92 36.84
46.48 -97.91 36.85
46.55 -97.94 36.85
46.48 -97.96 36.86
46.52 -97.97 36.87
46.55 -97.98 36.87
46.44 -98.02 36.88
46.44 -98.01 36.89
46.43 -98.08 36.89
